"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Get a group - No auth token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:23 UTC 2025","passed","Sun Dec 14 16:13:23 UTC 2025","Get a group","Admin","",""
"","92","Admin profile - Invalid token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:28 UTC 2025","passed","Sun Dec 14 16:13:28 UTC 2025","Get admin profile","Admin","",""
"","93","Get cycles in a group - Invalid token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:27 UTC 2025","passed","Sun Dec 14 16:13:27 UTC 2025","Get cycle in groups","Admin","",""
"","95","Admin profile - Success","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:28 UTC 2025","failed","Sun Dec 14 16:13:28 UTC 2025","Get admin profile","Admin","",""
"","97","Start Cycle - Empty slot amount","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:25 UTC 2025","passed","Sun Dec 14 16:13:25 UTC 2025","Start Cycle","Admin","",""
"","92","Change password - Invalid token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:27 UTC 2025","passed","Sun Dec 14 16:13:27 UTC 2025","Change password","Admin","",""
"","95","Get all groups - Invalid token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:22 UTC 2025","passed","Sun Dec 14 16:13:22 UTC 2025","Get all groups","Admin","",""
"","92","Get cycle contributions - No auth token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:27 UTC 2025","passed","Sun Dec 14 16:13:27 UTC 2025","Get cycle contributions","Admin","",""
"","104","Dashboard - No Auth Token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:21 UTC 2025","passed","Sun Dec 14 16:13:21 UTC 2025","Dashboard","Admin","",""
"","94","Get all groups - No auth token","SLOT FINANCE - Admin - QA","Sun Dec 14 16:13:22 UTC 2025","passed","Sun Dec 14 16:13:22 UTC 2025","Get all groups","Admin","",""
